date,close,open,high,low,volume
2018/4/30,1325.3,1330.6,1332,1317,25.61K
2018/5/1,1313,1322.1,1322.8,1308.6,12.15K
2018/5/2,1311.8,1310.6,1320.9,1310.6,27.66K
2018/5/3,1319,1312,1325.2,1312,12.61K
2018/5/4,1321,1318.9,1322.7,1314.9,13.28K
2018/5/7,1320.4,1321.9,1326.4,1316.9,19.44K
2018/5/8,1320,1321.1,1324.7,1312.4,52.68K
2018/5/9,1319.3,1321.3,1324.1,1310.9,39.31K
2018/5/10,1328.6,1319.1,1329.5,1317,20.63K
2018/5/11,1327,1327.9,1332.4,1323.8,25.71K
2018/5/14,1324.3,1324.5,1328.7,1319,30.88K
2018/5/15,1296.2,1318.9,1320.8,1294.1,39.69K
2018/5/16,1297.4,1295.5,1302.3,1291.8,22.14K
2018/5/17,1295.2,1295.9,1299.6,1290,20.02K
2018/5/18,1296.9,1295.9,1299.1,1291,26.61K
2018/5/21,1296.4,1295.6,1298.4,1286.8,53.90K
2018/5/22,1297.4,1298.2,1301.3,1292.8,47.66K
2018/5/23,1294.8,1295.9,1303.8,1292,67.84K
2018/5/24,1309.8,1298,1311.8,1297.4,101.75K
2018/5/25,1309,1309,1312.6,1304.6,96.67K
2018/5/29,1304.1,1305.7,1311.3,1296.6,362.21K
2018/5/30,1312.7,1313,1314.8,1306.5,1.97K
2018/5/31,1310.8,1314,1317,1308,1.86K
2018/6/1,1305.4,1309.6,1310.1,1299.4,2.32K
2018/6/4,1303.4,1303.9,1308.2,1300,1.45K
2018/6/5,1308.3,1302.6,1310.6,1299.9,1.48K
2018/6/6,1307.4,1307.1,1312,1304,3.73K
2018/6/7,1308.9,1306.8,1313.2,1305,3.77K
2018/6/8,1308.8,1307.3,1310.4,1302.1,2.86K
2018/6/11,1309.3,1309.6,1312.7,1304,1.66K
2018/6/12,1305.5,1309.5,1309.5,1302.9,0.90K
2018/6/13,1307.4,1304.8,1310.3,1300.7,2.44K
2018/6/14,1314.4,1309,1318.9,1307.3,1.79K
2018/6/15,1284.3,1310.6,1312,1284,6.06K
2018/6/18,1286,1287,1290.7,1285.6,2.00K
2018/6/19,1284.4,1287.8,1292.4,1278.6,1.89K
2018/6/20,1280.3,1281.3,1283.7,1275.6,5.70K
2018/6/21,1276.3,1275.8,1277.7,1268.5,3.15K
2018/6/22,1276.4,1274.5,1278.2,1274.5,2.66K
2018/6/25,1274.7,1277.7,1280,1272.2,1.66K
2018/6/26,1265.6,1273.1,1275,1262.6,1.92K
2018/6/27,1261.9,1265.9,1267.4,1258.2,3.91K
2018/6/28,1256.7,1258.8,1261.3,1253,3.15K
2018/6/29,1260.2,1254.8,1262.5,1253,3.46K
2018/7/2,1247.1,1260,1260.6,1246.1,9.33K
2018/7/3,1259,1249.1,1263.9,1244.3,6.21K
2018/7/5,1264.2,1259.1,1267.6,1257.5,4.21K
2018/7/6,1261.4,1264.1,1264.5,1259.3,2.69K
2018/7/9,1265.3,1261.6,1272.3,1261.6,5.73K
2018/7/10,1261.1,1264.3,1266.5,1253.6,4.53K
2018/7/11,1250,1261.6,1262.5,1247.4,6.24K
2018/7/12,1252,1248.3,1254,1247.1,6.63K
2018/7/13,1246.4,1252.8,1253.5,1242,7.79K
2018/7/16,1244.8,1246.8,1250.6,1243.7,4.24K
2018/7/17,1232.3,1245.9,1250.2,1231.3,5.00K
2018/7/18,1232.9,1232.7,1233.4,1226,4.97K
2018/7/19,1228.7,1231.9,1234.2,1215.7,20.77K
2018/7/20,1235.5,1228.3,1236.6,1220.4,8.72K
2018/7/23,1229.7,1235.7,1239.3,1226.7,7.64K
2018/7/24,1230,1229.3,1234,1222.8,10.64K
2018/7/25,1236.4,1228.8,1238.6,1228,6.86K
2018/7/26,1230.5,1236.1,1239.8,1226.6,24.23K
