date,open,volume,low,high,close
2021/11/12,385.3143,174585,384.3605461,386.5425478,384.6944599
2021/11/15,385.7859,234723,382.6685681,386.2665677,383.1789143
2021/11/16,385.5605,184008,384.1418574,386.2924987,385.198388
2021/11/17,382.9752,242866,382.253461,388.6128558,383.5274501
2021/11/18,385.61,158646,383.9994724,386.0727572,384.7873065
2021/11/19,383.8666,177906,383.1711602,385.8333242,384.1465121
2021/11/22,382.3911,225452,380.3191506,386.0172585,380.5982806
2021/11/23,374.5339,294882,373.1964872,380.6838923,373.3972467
2021/11/24,371.0888,252243,369.4682552,371.9884994,371.3029568
2021/11/25,371.4795,233585,369.0485689,371.8055862,371.4152648
2021/11/26,370.9093,166317,370.0571698,373.7094097,373.2548735
2021/11/29,371.5518,292881,369.7493063,375.2615077,372.020654
2021/11/30,370.092,212553,369.0880261,372.0195596,370.912708
2021/12/1,367.3345,339409,366.3657322,373.5106277,369.5176466
2021/12/2,368.4207,220404,367.1912134,370.2252495,367.9122267
2021/12/3,366.8299,219446,365.2317423,368.5640081,366.8552972
2021/12/6,369.1411,233504,365.8772875,370.0272558,369.5771061
2021/12/7,368.7081,132158,367.9664596,369.7213816,368.7759806
2021/12/8,369.074,167507,366.8545532,369.8803598,369.2209245
2021/12/9,368.1888,152468,367.0222501,368.455379,367.6541491
2021/12/10,367.8628,189307,365.8581764,369.2561238,366.5498105
2021/12/13,369.0875,206143,366.8578964,370.4606701,369.0358465
2021/12/14,369.6464,132634,368.5056298,370.3308153,369.4047759
2021/12/15,366.61,206993,364.6553079,368.9869076,365.3139508
2021/12/16,366.7113,176340,364.7270007,369.0573964,368.9496611
2021/12/17,371.6268,242918,368.79015,373.8270085,373.6731464
2021/12/20,373.1195,164263,372.5619456,375.5935476,373.2456226
2021/12/21,371.0271,154552,370.2229261,372.8251897,370.6597896
2021/12/22,370.2758,148493,369.6462376,372.7444811,369.8325003
2021/12/23,372.6518,155040,370.1417223,374.1956523,373.7185887
2021/12/24,374.016,144996,372.1179148,374.8038169,374.4352573
2021/12/27,373.6946,78103,373.3822275,375.3716355,374.2307458
2021/12/28,374.3202,130147,372.6356254,375.4249964,375.3362212
2021/12/29,373.4537,144566,372.765836,376.2897183,373.5475197
2021/12/30,372.9531,163322,370.1121833,373.3032792,371.7781068
2021/12/31,375.181,159429,372.0365848,376.1212223,375.6905717
2022/1/4,373.1742,78254,372.5484169,373.7660965,372.7500388
2022/1/5,374.474,141502,371.7726441,374.931753,374.1031137
2022/1/6,373.6232,197988,370.7983202,377.0635176,371.4968262
2022/1/7,370.0819,177253,368.9606815,370.8440316,369.2543025
2022/1/10,369.8621,177501,368.1359628,370.8743037,369.6911525
2022/1/11,371.5444,157961,369.2742085,373.3212891,372.9519314
2022/1/12,374.9474,140148,371.9325238,375.584672,374.9798714
2022/1/13,375.3444,146726,374.5572498,376.4066033,375.8874307
2022/1/14,374.7418,141484,373.3056296,376.1810722,375.5945193
2022/1/17,373.6619,149410,372.973944,375.7444307,373.8176383
2022/1/18,373.9001,86240,372.6419883,374.2748407,373.1038566
2022/1/19,372.9835,179901,371.4977497,374.4438899,372.7418503
2022/1/20,378.1776,198871,373.4625316,378.5986869,378.1120829
2022/1/21,378.0905,149970,377.2451109,379.5031152,377.9264992
2022/1/24,376.6696,147852,376.1409933,378.5419792,376.9412851
2022/1/25,377.6584,152023,375.3738583,378.1962277,377.6893338
2022/1/26,378.7683,153023,377.2035369,379.9527467,378.3322275
2022/1/27,373.7142,197392,371.1504768,378.5667343,371.4049345
2022/1/28,369.9732,162833,369.2654859,372.4342309,370.0570599
2022/2/7,372.8497,59109,371.822394,373.1082174,372.0026699
2022/2/8,374.2732,110192,372.7546321,375.2240191,374.6872998
2022/2/9,376.0757,101264,374.4195415,376.7200163,376.5337315
2022/2/10,377.1189,106726,375.5910638,377.8306506,377.3208881
2022/2/11,375.7847,172385,374.8588823,378.4162464,375.1839811
2022/2/14,381.5835,177509,375.1981483,383.1306644,381.9091358
2022/2/15,384.3589,184485,381.1834376,385.8331392,385.4944275
2022/2/16,379.203,166842,378.1745534,380.1526398,379.8373376
2022/2/17,382.4108,144952,379.1482193,384.1267649,383.5135361
2022/2/18,388.1253,207902,385.5558974,388.2752313,386.6385054
2022/2/21,387.5827,187813,385.7535714,388.7708157,386.0030902
2022/2/22,389.5828,142616,386.815382,391.409974,390.7496486
2022/2/23,388.0591,157616,386.5804096,389.0700008,387.5807337
2022/2/24,389.9327,242164,386.8334315,397.4157086,396.1260273
2022/2/25,391.183,351284,389.1675653,401.6967095,391.5268007
2022/2/28,391.5549,282376,384.7208619,392.5225352,389.2663901
2022/3/1,388.5218,230681,386.0428041,391.4106062,389.3704074
2022/3/2,394.235,278958,390.2089209,395.3383195,394.7996989
2022/3/3,393.5285,251080,391.2661427,394.8071888,393.4906789
2022/3/4,397.1529,249938,392.7644673,397.4126333,394.9415494
