date,close,volume,7_Days_MA,14_Days_MA,21_Days_MA,7_Days_SD,O-C,H-L
2021-10-25,1808.8,12.85,1782.7,1774.392857142857,1766.4571428571428,13.191790376313456,-11.5,31.90000000000009
2021-10-26,1795.4,6.08,1783.9857142857143,1777.6785714285713,1769.1761904761906,15.391385964363952,-12.399999999999864,18.0
2021-10-27,1800.8,3.37,1787.5857142857144,1779.9428571428573,1771.242857142857,14.553857286094543,15.399999999999864,26.299999999999955
2021-10-28,1804.7,2.79,1792.3285714285714,1782.7785714285712,1774.257142857143,12.169732164333345,-4.2999999999999545,16.0
2021-10-29,1785.9,12.55,1796.9428571428573,1786.0142857142857,1778.0571428571427,9.08732764946545,-4.7999999999999545,19.399999999999864
2021-11-01,1797.9,9.21,1796.8142857142855,1788.0285714285715,1779.3619047619047,9.259486769649314,17.399999999999864,29.600000000000136
2021-11-02,1791.5,11.68,1798.8285714285714,1790.6499999999999,1781.161904761905,7.278212758060166,-11.100000000000136,16.59999999999991
2021-11-03,1766.0,7.9,1797.857142857143,1790.2785714285712,1782.2142857142858,7.795908572796534,5.2000000000000455,9.700000000000045
2021-11-04,1795.6,6.75,1791.742857142857,1787.8642857142856,1782.3666666666666,12.897655748575193,25.0,30.0
2021-11-05,1819.0,8.08,1791.7714285714285,1789.6785714285713,1783.8857142857141,12.907325347192508,-22.59999999999991,29.200000000000045
2021-11-08,1830.2,48.24,1794.3714285714286,1793.3500000000001,1786.642857142857,16.39183885205083,-24.200000000000045,34.600000000000136
2021-11-09,1832.9,39.67,1798.0142857142857,1797.4785714285713,1790.014285714286,21.19853993173364,-8.0,14.5
2021-11-10,1850.6,54.48,1804.7285714285715,1800.7714285714285,1793.595238095238,23.982473759356807,-4.5,13.700000000000045
2021-11-11,1866.3,73.44,1812.257142857143,1805.542857142857,1797.852380952381,29.188345684685302,-14.899999999999864,47.59999999999991
2021-11-12,1870.8,47.68,1822.9428571428573,1810.4,1801.1666666666667,33.67055375955843,-12.399999999999864,23.200000000000045
2021-11-15,1869.2,28.48,1837.9142857142858,1814.8285714285716,1804.547619047619,26.71157230934119,-4.5,23.399999999999864
2021-11-16,1856.7,87.36,1848.4285714285713,1820.1000000000001,1809.2619047619048,21.195495927627444,7.099999999999909,15.299999999999955
2021-11-17,1872.8,24.65,1853.814285714286,1824.0928571428572,1813.5047619047623,16.806886343711348,10.700000000000045,28.40000000000009
2021-11-18,1864.0,34.03,1859.8999999999999,1828.957142857143,1818.2857142857142,14.3666279968188,-18.299999999999955,19.299999999999955
2021-11-19,1854.3,50.58,1864.3428571428572,1834.5357142857142,1821.9619047619046,8.041943617174804,7.7000000000000455,16.5
2021-11-22,1809.1,62.34,1864.8714285714284,1838.564285714286,1825.3190476190478,7.048336514242692,9.5,23.5
2021-11-23,1786.3,140.29,1856.7,1839.8214285714287,1825.8333333333333,22.132479903202416,41.600000000000136,47.700000000000045
2021-11-24,1786.9,150.81,1844.6285714285714,1841.2714285714285,1824.7619047619048,33.357643516163165,22.40000000000009,30.90000000000009
2021-11-26,1788.1,103.43,1832.8714285714286,1840.6499999999999,1824.357142857143,37.500253967381795,5.399999999999864,18.59999999999991
2021-11-29,1787.1,180.64,1823.0714285714287,1838.4428571428568,1823.7523809523811,39.162086864953615,4.2000000000000455,37.700000000000045
2021-11-30,1778.3,3.17,1810.8285714285714,1835.3642857142859,1822.9142857142858,34.092556092959015,5.300000000000182,19.0
2021-12-01,1786.3,3.42,1798.5857142857144,1831.4642857142858,1822.5523809523809,26.317005184936775,10.5,39.899999999999864
2021-12-02,1764.7,4.08,1788.8714285714284,1826.8714285714286,1822.0,9.50258110295906,-7.899999999999864,20.5
2021-12-03,1785.8,5.57,1782.5285714285715,1819.6142857142856,1820.7238095238095,8.516985829408114,21.399999999999864,22.700000000000045
2021-12-06,1781.5,6.77,1782.4571428571428,1813.542857142857,1821.6666666666667,8.482110024957342,-13.299999999999955,21.09999999999991
2021-12-07,1786.8,2.89,1781.685714285714,1807.2785714285712,1820.9952380952382,8.253166780336862,8.5,11.399999999999864
2021-12-08,1787.6,5.25,1781.5,1802.2857142857142,1819.4619047619049,8.097942125377383,-4.7000000000000455,16.700000000000045
2021-12-09,1778.9,2.7,1781.5714285714287,1796.2,1817.4333333333332,8.15755565626181,0.5,13.600000000000136
2021-12-10,1787.0,5.16,1781.6571428571426,1790.1214285714284,1814.8619047619047,8.12052074328682,7.5,15.0
2021-12-13,1790.6,6.46,1781.7571428571428,1785.3142857142855,1811.8333333333333,8.191226432927149,-7.900000000000091,20.199999999999818
2021-12-14,1774.7,5.02,1785.4571428571428,1783.9928571428572,1808.2285714285715,3.958053874755857,-4.0,9.600000000000136
2021-12-15,1766.9,6.65,1783.8714285714286,1783.1642857142856,1803.6523809523808,5.656770069424221,15.299999999999955,22.800000000000182
2021-12-16,1800.7,1.84,1781.7857142857142,1781.7357142857143,1798.7809523809524,8.601827048408015,7.399999999999864,27.899999999999864
